"CandidateName","Party","Office","District","Place","CommitteeStatus","CommitteeID"
"Pinkston, Patrick","Republican","District Court Judge","Elmore County","1","Active","25373"
"Pipkin, Joshua","Republican","State Representative","House District 91","","Active","25385"
"Pittman, Trip","Republican","State Senator","Senate District 32","","Active","25308"
"Platt, Samuel","Republican","County Commissioner","Henry County","","Active","25709"
"Plyler, Charles","Republican","State Representative","House District 104","","Active","25277"
"Polizos, Dimitri","Republican","State Representative","House District 74","","Active","25194"
"Pool, Jimmy","Democrat","District Court Judge","Montgomery County","1","Active","25086"
"Poole, Victor","Democrat","State Senator","Senate District 21","","Active","25612"
"Poole, William","Republican","State Representative","House District 63","","Active","24994"
"Poynter, Ginger","Independent","District Court Judge","Baldwin County","1","Active","25736"
"Price, Edwin","Independent","Sheriff","Chilton County","","Active","25719"
"Price, Randy","Republican","State Representative","House District 38","","Active","25375"
"Pringle, Chris","Republican","State Representative","House District 101","","Active","25467"
"Pugh, Tillman","Democrat","State Representative","House District 80","","Active","25609"
"Reed, Greg","Republican","State Senator","Senate District 5","","Active","25205"
"Reed, Ronnie","Democrat","State Representative","House District 83","","Active","25786"
"Reese, Eugene","Democrat","Circuit Court Judge","15Th Judicial Circuit","6","Active","25477"
"Reeves, George","Republican","Circuit Court Judge","18Th Judicial Circuit","4","Active","25495"
"Rich, Ashley","Republican","District Attorney","13Th Judicial Circuit","","Active","25157"
"Rich, Kerry","Republican","State Representative","House District 26","","Active","25345"
"Richardson, Schuyler","Republican","District Court Judge","Madison County","4","Active","25531"
"Ritch, Adam","Republican","State Senator","Senate District 17","","Active","25643"
"Roberts, James","Republican","State Senator","Senate District 17","","Active","25673"
"Roberts, William","Republican","State Representative","House District 13","","Active","24917"
"Robinson, John","Democrat","State Representative","House District 23","","Active","24983"
"Robinson, Oliver","Democrat","State Representative","House District 58","","Active","25166"
"Rogers, John","Democrat","State Representative","House District 52","","Active","25354"
"Rollins, Nelson","Democrat","State Representative","House District 76","","Active","25723"
"Roper, Timothy","Republican","District Court Judge","Shelby County","2","Active","25571"
"Ross, Quinton","Democrat","State Senator","Senate District 26","","Active","25192"
"Rowe, Connie","Republican","State Representative","House District 13","","Active","25616"
"Rumsey, M.","Democrat","District Court Judge","Talladega County","2","Active","25566"
"Russell, James","Democrat","District Court Judge","Butler County","1","Active","25578"
"Sadler, Barry","Republican","State Board Of Education","District 2","","Active","25582"
"Saint, Ricky","Democrat","County Board Of Education","Colbert County","","Active","25557"
"Sanderford, James","Republican","State Representative","House District 20","","Active","24925"
"Sanders, Henry","Democrat","State Senator","Senate District 23","","Active","25322"
"Sanford, Paul","Republican","State Senator","Senate District 7","","Active","25265"
"Sarrell, Warren","Republican","District Court Judge","Cleburne County","1","Active","25480"
"Saunders, John","Republican","County Commissioner","Henry County","2","Active","25705"
"Savage, John","Republican","State Senator","Senate District 28","","Active","25800"
"Scofield, Clay","Republican","State Senator","Senate District 9","","Active","25058"
"Scott, Amanda","Republican","Revenue Commissioner","Morgan County","","Active","25584"
"Scott, Roderick","Democrat","State Representative","House District 55","","Active","25442"
"Scott-Harris, Shirley","Democrat","State Representative","House District 79","","Active","25703"
"Screws, Jeshua","Independent","State Representative","House District 31","","Active","25391"
"Sealy, Hobbie","Republican","State Auditor","","","Active","25610"
"Sedinger, Joseph","Republican","Sheriff","Autauga County","","Active","25331"
"Seibert, Chris","Republican","State Senator","Senate District 1","","Active","25336"
"Sellers, Heather","Republican","County Board Of Education","Montgomery County","","Active","25750"
"Sellers, Patrick","Democrat","State Representative","House District 52","","Active","25725"
"Sells, Chris","Republican","State Representative","House District 90","","Active","25686"
"Sessions, David","Republican","State Representative","House District 105","","Active","25210"
"Sexton, Stephen","Republican","State Senator","Senate District 22","","Active","25178"
"Shashy, William","Democrat","Circuit Court Judge","15Th Judicial Circuit","1","Active","25560"
"Shaver, Amie Beth","Republican","State Representative","House District 43","","Active","25419"
"Shaw, Greg","Republican","Supreme Court Associate Justice","Place 1","","Active","25213"
"Shedd, Randall","Republican","State Representative","House District 11","","Active","25245"
"Shelnutt, Shay","Republican","State Senator","Senate District 17","","Active","25714"
"Shepherd, Portia","Independent","State Representative","House District 72","","Active","25787"
"Sherling, Braxton","Republican","District Court Judge","Coffee County","1","Active","25526"
"Sherrod, Carl","Republican","State Representative","House District 28","","Active","25278"
"Shiver, Harry","Republican","State Representative","House District 64","","Active","25146"
"Singleton, Bobby","Democrat","State Senator","Senate District 24","","Active","25297"
"Sloan, Thomas","Republican","County Commissioner","Marshall County","","Active","25784"
"Small, Steve","Democrat","County Commissioner","Jefferson County","2","Active","25777"
"Smith, Harri Anne","Independent","State Senator","Senate District 29","","Active","25315"
"Smith, Susan","Democrat","State Senator","Senate District 22","","Active","25793"
"Smitherman, Rodger","Democrat","State Senator","Senate District 18","","Active","25071"
"South, Kyle","Republican","State Representative","House District 16","","Active","25370"
"Speakman, Steven","Republican","District Court Judge","Lee County","1","Active","25567"
"Sprayberry, Tim","Republican","State Senator","Senate District 13","","Active","25168"
"Standridge, David","Republican","State Representative","House District 34","","Active","25024"
"Staten, Charlie","Democrat","State Representative","House District 103","","Active","25579"
"Statom, Sterling","Republican","State Representative","House District 1","","Active","25724"
"Stedham, Brenda","Republican","Circuit Court Judge","7Th Judicial Circuit","4","Active","25295"
"Stephens, Dennis","Democrat","State Representative","House District 22","","Active","25660"
"Stewart, William","Democrat","State Senator","Senate District 12","","Active","25608"
"Strange, Luther","Republican","Attorney General","","","Active","24900"
"Stricklend, William","Republican","County Commissioner","Marshall County","","Active","25597"
"Strong, Dale","Republican","County Commission Chair","Madison County","","Active","25452"
"Stuart, Jacquelyn","Republican","Supreme Court Associate Justice","Place 2","","Active","25478"
"Stutts, Larry","Republican","State Senator","Senate District 6","","Active","25744"
"Taylor, Bryan","Republican","State Senator","Senate District 30","","Active","24901"
"Taylor, Scott","Republican","District Court Judge","Baldwin County","2","Active","25539"
"Thomason, Michelle","Republican","District Court Judge","Baldwin County","1","Active","25288"
"Thompson, Adam","Republican","State Auditor","","","Active","24884"
"Thompson, Glenn","Democrat","Circuit Court Judge","8Th Judicial Circuit","2","Active","25550"
"Thompson, William C.","Republican","Court Of Civil Appeals Judge","Place 1","","Active","25140"
"Todd, Patricia","Democrat","State Representative","House District 54","","Active","25147"
"Toomer, Fred","Republican","State Representative","House District 79","","Active","25729"
"Topping, Frank","Democrat","State Representative","House District 53","","Active","25366"
"Trautwein, Jody","Republican","State Representative","House District 73","","Active","25695"
"Treadaway, Benjamin","Republican","State Representative","House District 51","","Active","25323"
"Tuggle, Mark","Republican","State Representative","House District 81","","Active","25268"
"Turner, James","Democrat","State Senator","Senate District 13","","Active","25300"
"Vance, Lesley","Republican","State Representative","House District 80","","Active","25087"
"Verin, Annetta","Democrat","Circuit Court Judge","10Th Judicial Circuit","12","Active","25543"
"Vest, Randy","Republican","County Commissioner","Morgan County","","Active","25417"
"Wadsworth, Tim","Republican","State Representative","House District 14","","Active","25363"
"Waggoner, James","Republican","State Senator","Senate District 16","","Active","25054"
"Walker, Hobby","Republican","Sheriff","Winston County","","Active","25499"
"Walker, Melody","Republican","District Court Judge","Cleburne County","1","Active","25466"
"Wallace, Aubrey","Republican","State Representative","House District 42","","Active","25232"
"Wallace, Carolyn","Republican","License Commissioner","Morgan County","","Active","25423"
"Wallace, Gerald","Republican","State Representative","House District 18","","Active","25379"
"Ward, Cam","Republican","State Senator","Senate District 14","","Active","25007"
"Warren, Pebblin","Democrat","State Representative","House District 82","","Active","25172"
"Weaver, April","Republican","State Representative","House District 49","","Active","24943"
"Weinberg, Martin","Democrat","Circuit Court Judge","10Th Judicial Circuit","3","Active","25644"
"Wess, Everett","Democrat","Circuit Court Judge","10Th Judicial Circuit","3","Active","25642"
"Whaley, Thomas","Republican","State Representative","House District 37","","Active","25494"
"Whatley, Tom","Republican","State Senator","Senate District 27","","Active","24964"
"Wheeler, David","Republican","State Representative","House District 47","","Active","25094"
"White, Henry","Democrat","State Representative","House District 5","","Active","25590"
"Whitehead, Orlando","Democrat","Sheriff","Macon County","","Active","25585"
"Whitlock, Bruce","Republican","State Senator","Senate District 4","","Active","25615"
"Whitmire, Steven","Democrat","District Court Judge","Dekalb County","1","Active","25711"
"Whorton, Ritchie","Republican","State Representative","House District 22","","Active","25552"
"Whorton, William","Republican","State Representative","House District 38","","Active","25329"
"Wilcox, Julia","Republican","State Representative","House District 104","","Active","25294"
"Williams, Dan","Republican","State Representative","House District 5","","Active","25276"
"Williams, Gregory","Republican","District Court Judge","Walker County","1","Active","25472"
"Williams, Jack","Republican","State Representative","House District 47","","Active","25237"
"Williams, Joel","Democrat","State Representative","House District 89","","Active","25722"
"Williams, John","Republican","State Representative","House District 102","","Active","25618"
"Williams, Michael","Democrat","County Commissioner","Greene County","","Active","25514"
"Williams, Phil","Republican","State Representative","House District 6","","Active","24940"
"Williams, Phillip","Republican","State Senator","Senate District 10","","Active","25125"
"Williamson, Frank","Democrat","Sheriff","Colbert County","","Active","25732"
"Willingham, Barry","Republican","Revenue Commissioner","Cullman County","","Active","25598"
"Windom, Mary","Republican","Court Of Criminal Appeals Judge","Place 1","","Active","25072"
"Wingo, Rich","Republican","State Representative","House District 62","","Active","25220"
"Wood, Randy","Republican","State Representative","House District 36","","Active","25037"
"Word, Don","Republican","District Court Judge","Jackson County","1","Active","25546"
"X, X","Republican","Sheriff","Elmore County","","Active","25369"
"Yarbrough, Jackie","Republican","County Commission Chair","Limestone County","","Active","25752"
"York, Jay","Republican","District Court Judge","Mobile County","2","Active","25167"
"Young, David","Republican","County Coroner","Madison County","","Active","25519"
"Zachero, James","Democrat","State Representative","House District 33","","Active","25677"
"Zeigler, Jim","Republican","State Auditor","","","Active","25647"
