"name","_id","type","status","party","office","district","place","phone","email","url","photoURL","facebookID","twitterID"
"Robinson, Oliver","25166","Candidate","Active","Democrat","State Representative","House District 58","","(334) 242-7769","oliver.robinson@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd058.html","http://www.legislature.state.al.us/graphics/housepics/robinson_o.jpeg","",""
"Hall, Laura","25107","Candidate","Active","Democrat","State Representative","House District 19","","(334) 242-7688","laura.hall@alhouse.org","http://www.legislature.state.al.us/house/representatives/housebios/hd019.html","http://www.legislature.state.al.us/graphics/housepics/hall_l.jpeg","laura.hall.14224","RepLauraHall"
"Sherrod, Carl","25278","Candidate","Active","Republican","State Representative","House District 28","","","","","","",""
"Whorton, William","25329","Candidate","Active","Republican","State Representative","House District 38","","","","","","",""
"Pringle, Chris","25467","Candidate","Active","Republican","State Representative","House District 101","","","","","","",""
"Mcadory, Lawrence","25727","Candidate","Active","Democrat","State Representative","House District 56","","(334) 242-7702","lawrencemcadory@bham.rr.com","http://www.legislature.state.al.us/house/representatives/housebios/hd056.html","","",""
"Marsden, Jennifer","25246","Candidate","Active","Democrat","State Representative","House District 93","","","","","","",""
"Mcglaughn, Phillip","25489","Candidate","Dissolved","Republican","Sheriff","Calhoun County","","","","","","",""
"Josey, Suzelle","25367","Candidate","Active","Republican","State Senator","Senate District 30","","","","","","",""
"Bailey, Robert","25055","Candidate","Active","Democrat","Circuit Court Judge","15Th Judicial Circuit","","","","","","",""
"Johnson, Anthony","25347","Candidate","Active","Democrat","State Representative","House District 53","","(334) 242-7546","anthony.a.johonson@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd053.html","","",""
"Livingston, Steve","25351","Candidate","Active","Republican","State Senator","Senate District 8","","","","","","",""
"Bryan, Ray","25286","Candidate","Dissolved","Republican","State Auditor","","","","","","","",""
"Baker, Alan","25287","Candidate","Active","Republican","State Representative","House District 66","","(334) 242-7720","staterep@co.escambia.al.us","http://www.legislature.state.al.us/house/representatives/housebios/hd066.html","http://www.legislature.state.al.us/graphics/housepics/baker_a.jpeg","",""
"Flowers, Steve","25458","Candidate","Active","Republican","Public Service Commissioner","Place 2","","","","","","",""
"Alabama Economic Development PAC","25184","PAC","","","","","","","","","","",""
"Branch Bank And Trust Alabama PAC","25099","PAC","","","","","","","","","","",""
"Move Birmingham Forward PAC","24910","PAC","","","","","","","","","","",""
"Sheet Metal Workers Local 441","25169","PAC","","","","","","","","","","",""
"South Al PAC For Higher Education","25201","PAC","","","","","","","","","","",""
"Talladega County Republican Party","24905","PAC","","","","","","","","","","",""
"Pipkin, Joshua","25385","Candidate","Active","Republican","State Representative","House District 91","","","","","","",""
"Fridy, Matthew","24997","Candidate","Active","Republican","State Representative","House District 73","","","","","","",""
"Colston, David","25422","Candidate","Active","Democrat","State Representative","House District 69","","(334) 242-7535","asthp20@yahoo.com","http://www.legislature.state.al.us/house/representatives/housebios/hd069.html","","",""
"Childers, Suzanne","25496","Candidate","Active","Republican","District Court Judge","Jefferson County","1","","","","","",""
"Marsh, Del","25318","Candidate","Active","Republican","State Senator","Senate District 12","","","","","","",""
"Wingo, Rich","25220","Candidate","Active","Republican","State Representative","House District 62","","","","","","",""
"Carroll, Perryn","25460","Candidate","Active","Democrat","Circuit Court Judge","10Th Judicial Circuit","10","","","","","",""
"Greeson, Todd","25017","Candidate","Active","Republican","State Senator","Senate District 8","","","","","","",""
"Moore, Felix","25239","Candidate","Active","Republican","State Representative","House District 91","","","","","","",""
"Alabama Action Committee For Rural Electrification","24906","PAC","","","","","","","","","","",""
"Alabama Realtors Political Action Committee","25092","PAC","","","","","","","","","","",""
"Alabama Senate Democratic Caucus PAC","25014","PAC","","","","","","","","","","",""
"Bankpac","25077","PAC","","","","","","","","","","",""
"Conservatives For Good Government","25262","PAC","","","","","","","","","","",""
"Green PAC","25446","PAC","","","","","","","","","","",""
"Miller Lacher, Peggy","24894","Candidate","Active","Republican","Circuit Court Judge","7Th Judicial Circuit","","","","","","",""
"Rainey, Donald","25221","Candidate","Dissolved","Republican","Sheriff","Cullman County","","","","","","",""
"Amari, John","25293","Candidate","Active","Republican","State Representative","House District 44","","","","","","",""
"Holtzclaw, William","24998","Candidate","Active","Republican","State Senator","Senate District 2","","(334) 242-7854","bill.holtzclaw@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd002.html","http://www.legislature.state.al.us/graphics/senatepics/holtzclaw_b.jpg","",""
"Smith, Harri Anne","25315","Candidate","Active","Independent","State Senator","Senate District 29","","(334) 242-7879","harriannesmith@graceba.net","http://www.legislature.state.al.us/senate/senators/senatebios/sd029.html","http://www.legislature.state.al.us/graphics/senatepics/smith_ha.jpeg","",""
"Hill, Mike","25142","Candidate","Active","Republican","State Representative","House District 41","","(334) 242-7715","mike.hill@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd041.html","http://www.legislature.state.al.us/graphics/housepics/hill_m.jpeg","",""
"Tuggle, Mark","25268","Candidate","Active","Republican","State Representative","House District 81","","(334) 242-7219","tughd81@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd081.html","http://www.legislature.state.al.us/graphics/housepics/tuggle_m.jpg","",""
"Ivey, Wyndall","25588","Candidate","Active","Democrat","Circuit Court Judge","10Th Judicial Circuit","10","","","","","",""
"Figures, Vivian","25126","Candidate","Active","Democrat","State Senator","Senate District 33","","(334) 242-7871","vivian.figures@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd033.html","http://www.legislature.state.al.us/graphics/senatepics/figures_v.jpeg","",""
"Hightower, Bill","25013","Candidate","Active","Republican","State Senator","Senate District 35","","(334) 242-7882","bill.hightower@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd035.html","http://www.legislature.state.al.us/graphics/senatepics/hightower_b.jpeg","314564311991547","hightower_bill"
"Johnson, Wayne","24936","Candidate","Active","Republican","State Representative","House District 22","","(334) 242-7492","waynejohnson259@yahoo.com","http://www.legislature.state.al.us/house/representatives/housebios/hd022.html","","",""
"Pool, Jimmy","25086","Candidate","Active","Democrat","District Court Judge","Montgomery County","1","","","","","",""
"Collier, Jimmy","25292","Candidate","Active","Republican","State Representative","House District 31","","","","","","",""
"Faust, Teddy","25188","Candidate","Active","Republican","State Representative","House District 94","","","","","","",""
"Moore, Thomas","25421","Candidate","Active","Democrat","State Representative","House District 72","","","","","","",""
"Boozer, Young","25010","Candidate","Active","Republican","State Treasurer","","","(334) 242-7500","alatreas@treasury.alabama.gov","http://www.treasury.state.al.us/","","164017117006358",""
"Thompson, William C.","25140","Candidate","Active","Republican","Court Of Civil Appeals Judge","Place 1","","","","","","",""
"Sedinger, Joseph","25331","Candidate","Active","Republican","Sheriff","Autauga County","","","","","","",""
"Jones-Osborne, Lillie","25533","Candidate","Active","Democrat","District Court Judge","Greene County","17","","","","","",""
"Perdue, Jim","25023","Candidate","Active","Republican","Secretary Of State","","","","","","","",""
"Lee, Arthur","25572","Candidate","Dissolved","Democrat","State Representative","House District 53","","","","","","",""
"Etienne, Hilda","25652","Candidate","Dissolved","Republican","License Commissioner","Morgan County","","","","","","",""
"Al.Nursing Home Association Care PAC","24986","PAC","","","","","","","","","","",""
"Alabama Hospital Association Political Action Committee","25253","PAC","","","","","","","","","","",""
"Central Alabama Republican Council","25215","PAC","","","","","","","","","","",""
"Brown, Phillip","25397","Candidate","Active","Republican","Public Service Commissioner","Place 2","","","","","","",""
"Alabama Academy Of Ophthalmology","24890","PAC","","","","","","","","","","",""
"Blount County Republican Party","25069","PAC","","","","","","","","","","",""
"Cullman County Democrat Party","25395","PAC","","","","","","","","","","",""
"Walker County Republican Party PAC","24980","PAC","","","","","","","","","","",""
"Newton, Charles","25106","Candidate","Active","Democrat","State Representative","House District 90","","(334) 242-4460","charles.newton@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd090.html","","",""
"Scofield, Clay","25058","Candidate","Active","Republican","State Senator","Senate District 9","","(334) 242-7876","clay.scofield@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd009.html","http://www.legislature.state.al.us/graphics/senatepics/scofield_c.jpg","",""
"Joseph, Miranda","25040","Candidate","Active","Democrat","State Auditor","","","","","","","",""
"Mastin, John","25233","Candidate","Active","Republican","District Court Judge","Marshall County","2","","","","","",""
"Ala-Crna","25325","PAC","","","","","","","","","","",""
"Grimsley, William","25285","Candidate","Active","Democrat","State Representative","House District 85","","","","","","",""
"Forte, Berry","25165","Candidate","Active","Democrat","State Representative","House District 84","","(334) 242-7553","berry.forte@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd084.html","http://www.legislature.state.al.us/graphics/housepics/forte_b.jpg","berry.forte",""
"Beasley, William","25301","Candidate","Active","Democrat","State Senator","Senate District 28","","(334) 242-7868","billy.beasley@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd028.html","http://www.legislature.state.al.us/graphics/senatepics/beasley_b.jpeg","",""
"Wood, Randy","25037","Candidate","Active","Republican","State Representative","House District 36","","(334) 242-7700","randy.wood@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd036.html","http://www.legislature.state.al.us/graphics/housepics/wood_r.jpeg","",""
"Windom, Mary","25072","Candidate","Active","Republican","Court Of Criminal Appeals Judge","Place 1","","","","","","",""
"Shaw, Greg","25213","Candidate","Active","Republican","Supreme Court Associate Justice","Place 1","","","","","","",""
"Melton, Darrio","24939","Candidate","Active","Democrat","State Representative","House District 67","","(334) 242-7540","darriomelton@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd067.html","","",""
"Clark, Douglas","25307","Candidate","Active","Republican","State Representative","House District 43","","","","","","",""
"George, Stacy","25250","Candidate","Active","Republican","Governor","","","","","","","",""
"Blair, David","25505","Candidate","Active","Republican","State Senator","Senate District 7","","","","","","",""
"Whitehead, Orlando","25585","Candidate","Active","Democrat","Sheriff","Macon County","","","","","","",""
"Kellum, Elizabeth","25469","Candidate","Active","Republican","Court Of Criminal Appeals Judge","Place 2","","","","","","",""
"Hodges, Wesley","25580","Candidate","Active","Democrat","State Representative","House District 71","","","","","","",""
"Pittman, Trip","25308","Candidate","Active","Republican","State Senator","Senate District 32","","(334) 242-7897","trip.pittman@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd032.html","http://www.legislature.state.al.us/graphics/senatepics/pittman_t.jpeg","",""
"Vest, Randy","25417","Candidate","Active","Republican","County Commissioner","Morgan County","","","","","","",""
"Wadsworth, Tim","25363","Candidate","Active","Republican","State Representative","House District 14","","","","","","",""
"Bailey, Kenneth","25399","Candidate","Active","Independent","Sheriff","Shelby County","","","","","","",""
"Beeker, Chris","25060","Candidate","Active","Republican","Public Service Commissioner","Place 2","","","","","","",""
"York, Jay","25167","Candidate","Active","Republican","District Court Judge","Mobile County","2","","","","","",""
"Burns, William","25471","Candidate","Active","Democrat","State Representative","House District 37","","","","","","",""
"Donaldson, William","25227","Candidate","Active","Republican","Court Of Civil Appeals Judge","Place 2","","","","","","",""
"Calhoun County Republican Executive Committee","25299","PAC","","","","","","","","","","",""
"Citizens For A Better Alabama","25216","PAC","","","","","","","","","","",""
"Jeffco","24958","PAC","","","","","","","","","","",""
"Jefferson County Republican Party","25230","PAC","","","","","","","","","","",""
"Lawrence County Republican Party","25148","PAC","","","","","","","","","","",""
"Republican Women Of Huntsville","24924","PAC","","","","","","","","","","",""
"Shelby County Republican Party","25751","PAC","","","","","","","","","","",""
"South Huntsville Civic Association","25303","PAC","","","","","","","","","","",""
"T-Town PAC Ii","25063","PAC","","","","","","","","","","",""
"Vpac","25153","PAC","","","","","","","","","","",""
"South, Kyle","25370","Candidate","Active","Republican","State Representative","House District 16","","","","","","",""
"Cummings, Morris","25507","Candidate","Active","Republican","County Commissioner","Winston County","","","","","","",""
"Bass, Robert","25556","Candidate","Active","Democrat","Governor","","","","","","","",""
"Byrd, Christopher","25530","Candidate","Dissolved","Republican","Sheriff","Covington County","","","","","","",""
"Alabama American Physical Therapy Association Political Action Committee","25808","PAC","","","","","","","","","","",""
"Covington County Gop Executive Committee","25083","PAC","","","","","","","","","","",""
"Lauderdale County Republican Executive Committee","25101","PAC","","","","","","","","","","",""
"Washington County Democratic Executive Committee","25487","PAC","","","","","","","","","","",""
"Gaines, J.R.","24938","Candidate","Active","Democrat","Circuit Court Judge","15Th Judicial Circuit","","","","","","",""
"Wallace, Carolyn","25423","Candidate","Active","Republican","License Commissioner","Morgan County","","","","","","",""
"Owens, Shanta","25483","Candidate","Active","Democrat","District Court Judge","Jefferson County","2","","","","","",""
"Crowson, Daniel","25502","Candidate","Active","Republican","District Court Judge","Shelby County","2","","","","","",""
"Al Association Of Insurance & Financial Advisors PAC","25206","PAC","","","","","","","","","","",""
"Alabama Veterinary Medical Association PAC","25381","PAC","","","","","","","","","","",""
"Aliant PAC","24934","PAC","","","","","","","","","","",""
"Edpac","24976","PAC","","","","","","","","","","",""
"Good PAC","25114","PAC","","","","","","","","","","",""
"Marshall County Republican Party","25406","PAC","","","","","","","","","","",""
"Medical Assurance Society Political Action Committee","25042","PAC","","","","","","","","","","",""
"Protective Life Corporation State Political Action Committee","25067","PAC","","","","","","","","","","",""
"More Jobs Alabama PAC","25383","PAC","","","","","","","","","","",""
"Newpac","24970","PAC","","","","","","","","","","",""
"Green, Robert","25473","Candidate","Active","Democrat","State Senator","Senate District 23","","","","","","",""
"Montgomery, Tammy","25492","Candidate","Active","Democrat","District Court Judge","Sumter County","1","","","","","",""
"Joyner, Danny","25427","Candidate","Active","Republican","State Senator","Senate District 22","","","","","","",""
"House Democratic Caucus Campaign Fund","24919","PAC","","","","","","","","","","",""
"Thomason, Michelle","25288","Candidate","Active","Republican","District Court Judge","Baldwin County","1","","","","","",""
"Goodwyn, Mills & Cawood PAC","24886","PAC","","","","","","","","","","",""
"Roberts, Tanya","25534","Candidate","Dissolved","Republican","Revenue Commissioner","Dale County","","","","","","",""
"Valley Young Republicans","25260","PAC","","","","","","","","","","",""
"Allied Women PAC","25461","PAC","","","","","","","","","","",""
"Scott, Amanda","25584","Candidate","Active","Republican","Revenue Commissioner","Morgan County","","(256) 351-4690","mcch@co.morgan.al.us","http://www.morgancountyrevenue.com/","","",""
"Hawsey, Tracy","25581","Candidate","Active","Democrat","Sheriff","Conecuh County","","","","","","",""
"Copland, Theodore","25501","Candidate","Active","Democrat","State Representative","House District 40","","","","","","",""
"Walker, Hobby","25499","Candidate","Active","Republican","Sheriff","Winston County","","","","","","",""
"Concrete PAC","24992","PAC","","","","","","","","","","",""
"Fight Back For Justice Fund","25081","PAC","","","","","","","","","","",""
"Marshall Co. Democratic Ex. Committee","25762","PAC","","","","","","","","","","",""
"Word, Don","25546","Candidate","Active","Republican","District Court Judge","Jackson County","1","","","","","",""
"Berryman, James","25517","Candidate","Active","Democrat","Sheriff","Colbert County","","","","","","",""
"Adams, John","25577","Candidate","Active","Democrat","County Commissioner","Bullock County","","","","","","",""
"Mckay, Robert","25511","Candidate","Dissolved","Republican","State Representative","House District 30","","","","","","",""
"Alabama Cpa PAC","25041","PAC","","","","","","","","","","",""
"Alabama Medical PAC","25202","PAC","","","","","","","","","","",""
"Alabamafirst Political Action C Ommittee","25045","PAC","","","","","","","","","","",""
"Subcontractors Association Of Alabama","24897","PAC","","","","","","","","","","",""
"Blankenship, Joel","25593","Candidate","Active","Republican","Tax Assessor","Jefferson County","","","","","","",""
"Friends Of Retirees/Employees","25004","PAC","","","","","","","","","","",""
"Benison, Jimmie","25594","Candidate","Active","Democrat","Sheriff","Greene County","","(205) 372-3242","","","","",""
"Coosa County Republican Party","25104","PAC","","","","","","","","","","",""
"Andrews, Phillip","25196","Candidate","Active","Republican","Sheriff","Colbert County","","","","","","",""
"Cochran, Samuel","25482","Candidate","Active","Republican","Sheriff","Mobile County","","(251) 574-2423","","http://www.mobileso.com/","","57193583190","team_sheriff"
"Abernathy, Ron","25440","Candidate","Active","Republican","Sheriff","Tuscaloosa County","","","","","","",""
"Doolittle, Beau","25603","Candidate","Active","Democrat","State Senator","Senate District 35","","","","","","",""
"Republicans For The Future PAC","25173","PAC","","","","","","","","","","",""
"State Farm Agents And Associates Of Alabama PAC","25068","PAC","","","","","","","","","","",""
"Crumpton, Ron","25721","Candidate","Active","Democrat","State Senator","Senate District 11","","","","","","",""
"Johnson, Michael","25548","Candidate","Active","Republican","Revenue Commissioner","Marshall County","","","","","","",""
"Chunn, Jeffrey","25481","Candidate","Active","Republican","County Coroner","Morgan County","","(256) 560-6084","jchunn@co.morgan.al.us","http://www.co.morgan.al.us/coronerindex.html","","",""
"Al Afl-Cio PAC","25199","PAC","","","","","","","","","","",""
"Alabama Manufactured Housing Institute","24993","PAC","","","","","","","","","","",""
"Designing For America Political Action Committee","25134","PAC","","","","","","","","","","",""
"Property Casualty Insurers Association Of America Political Account Ii","25103","PAC","","","","","","","","","","",""
"Alabamians For Economic Development","25390","PAC","","","","","","","","","","",""
"Boilermakers Local Lodge No. 108 PAC","24914","PAC","","","","","","","","","","",""
"Alabama Builders Political Action Committee","24893","PAC","","","","","","","","","","",""
"Alabama Voice Of Teachers For Education","25003","PAC","","","","","","","","","","",""
"Apac Alabama PAC","25160","PAC","","","","","","","","","","",""
"At&T Alabama Political Action Committee","24898","PAC","","","","","","","","","","",""
"Big I PAC","25334","PAC","","","","","","","","","","",""
"Cdg PAC","24926","PAC","","","","","","","","","","",""
"Constitution Party Of Alabama","25130","PAC","","","","","","","","","","",""
"Cwa 3902 Birmingham PAC","25100","PAC","","","","","","","","","","",""
"Enpac","25182","PAC","","","","","","","","","","",""
"Escambia County Republican Executive Committee","25270","PAC","","","","","","","","","","",""
"Iron Workers Local 92 PAC","25110","PAC","","","","","","","","","","",""
"Jobs PAC","25133","PAC","","","","","","","","","","",""
"Liberty Political Action Committee","24911","PAC","","","","","","","","","","",""
"Nucor Political Action Committee Of Alabama","24932","PAC","","","","","","","","","","",""
"Roadpac","25279","PAC","","","","","","","","","","",""
"United Transportation Union","24891","PAC","","","","","","","","","","",""
"Wells Fargo & Company Alabama Employees Good Government Fund","25290","PAC","","","","","","","","","","",""
"Blackwell, Mark","24979","Candidate","Active","Republican","State Senator","Senate District 15","","(334) 242-7851","sb@sladeblackwell.com","http://www.legislature.state.al.us/senate/senators/senatebios/sd015.html","http://www.legislature.state.al.us/graphics/senatepics/blackwell_s.jpg","","SladeBlackwell"
"Ellis, Charles","25600","Candidate","Active","Republican","Sheriff","Marshall County","","","","","","",""
"Casey, Willie","25374","Candidate","Active","Republican","State Representative","House District 53","","","","","","",""
"Russell, James","25578","Candidate","Active","Democrat","District Court Judge","Butler County","1","","","","","",""
"Clarkbanks, Anthony","25665","Candidate","Active","Republican","State Representative","House District 102","","","","","","",""
"Sellers, Heather","25273","Candidate","Dissolved","Republican","State Representative","House District 74","","","","","","",""
"Peters, Mary","25713","Candidate","Active","Republican","State Board Of Education","District 2","","","","","","",""
"Austin, Alison","24937","Candidate","Active","Republican","Circuit Court Judge","23Rd Judicial Circuit","","","","","","",""
"Stricklend, William","25597","Candidate","Active","Republican","County Commissioner","Marshall County","","","","","","",""
"Hadder, Lowell","25706","Candidate","Active","Republican","Sheriff","Walker County","","","","","","",""
"Auto-PAC","25066","PAC","","","","","","","","","","",""
"Bizpac","25046","PAC","","","","","","","","","","",""
"Comp PAC","25008","PAC","","","","","","","","","","",""
"Professional Fire Fighters Of Alabama","25569","PAC","","","","","","","","","","",""
"Engle, Stephanie","25649","Candidate","Active","Democrat","State Representative","House District 35","","","","","","",""
"Meeks, Dennis","25667","Candidate","Active","Republican","Sheriff","Covington County","","","","","","",""
"Ford, Vj","25720","Candidate","Active","Democrat","County Commissioner","Jefferson County","3","","","","","",""
"Mclemore, Lucie","25589","Candidate","Active","Republican","District Court Judge","Elmore County","1","","","","","",""
"Shedd, Randall","25245","Candidate","Active","Republican","State Representative","House District 11","","(334) 242-7600","randall.shedd@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd011.html","","",""
"Ciamarra, Cheryl","25361","Candidate","Dissolved","Republican","State Representative","House District 43","","","","","","",""
"Mcgriff, Patricia","25626","Candidate","Active","Republican","State Board Of Education","District 6","","","","","","",""
"Carmichael, Ralph","25620","Candidate","Active","Republican","State Representative","House District 103","","","","","","",""
"Cole, John","25613","Candidate","Active","Republican","Circuit Court Judge","10Th Judicial Circuit","3","","","","","",""
"Lamar County Democratic Executive Committee","24923","PAC","","","","","","","","","","",""
"Wess, Everett","25642","Candidate","Active","Democrat","Circuit Court Judge","10Th Judicial Circuit","3","","","","","",""
"Barnwell, Donald","25602","Candidate","Active","Democrat","State Representative","House District 17","","","","","","",""
"Guede, Steven","25674","Candidate","Active","Republican","State Senator","Senate District 12","","","","","","",""
"Clements, James","25320","Candidate","Active","Republican","State Representative","House District 62","","","","","","",""
"Albritton, Gregory","25562","Candidate","Active","Republican","State Senator","Senate District 22","","","","","","",""
"Brown, Jonathan","25702","Candidate","Active","Democrat","District Court Judge","Lamar County","24","","","","","",""
"Willingham, Barry","25598","Candidate","Active","Republican","Revenue Commissioner","Cullman County","","(256) 775-4862","bwillingham@co.cullman.al.us","http://www.cullmanrevenuecommissioner.com/","","149958715073181",""
"Betterton, Andrew","25699","Candidate","Active","Democrat","State Representative","House District 2","","","","","","",""
"Lee, Arthur","25728","Candidate","Active","Democrat","State Representative","House District 60","","","","","","",""
"Jackson, Roy","25027","Candidate","Dissolved","Republican","State Representative","House District 12","","","","","","",""
"Lewis, Bobby","25542","Candidate","Active","Republican","State Representative","House District 85","","","","","","",""
"Troy University Political Action Committee","25015","PAC","","","","","","","","","","",""
"Pugh, Tillman","25609","Candidate","Active","Democrat","State Representative","House District 80","","","","","","",""
"Todd, Patricia","25147","Candidate","Active","Democrat","State Representative","House District 54","","(334) 242-7718","reptodd@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd054.html","http://www.legislature.state.al.us/graphics/housepics/todd_p.jpeg","",""
"Poole, Victor","25612","Candidate","Active","Democrat","State Senator","Senate District 21","","","","","","",""
"Boohaker, Charles","25715","Candidate","Active","Democrat","Circuit Court Judge","10Th Judicial Circuit","10","","","","","",""
"Hubbard, Joseph","25675","Candidate","Active","Democrat","Attorney General","","","","","","","",""
"Jones, Heath","25679","Candidate","Active","Republican","State Representative","House District 39","","","","","","",""
"Sloan, Thomas","25784","Candidate","Active","Republican","County Commissioner","Marshall County","","","","","","",""
"Mcgilvray, Jerry","25771","Candidate","Active","Republican","State Representative","House District 84","","","","","","",""
"Coffee County Republican Committee","25693","PAC","","","","","","","","","","",""
"Rowell, Wilson","25529","Candidate","Dissolved","Republican","County Coroner","Covington County","","","","","","",""
"Hutchins, Michael","25684","Candidate","Active","Republican","County Commissioner","Limestone County","","","","","","",""
"Sells, Chris","25686","Candidate","Active","Republican","State Representative","House District 90","","","","","","",""
"Caster, Latunja","25691","Candidate","Active","Democrat","Revenue Commissioner","Washington County","","","","","","",""
"Johnson, Albert","25527","Candidate","Active","Democrat","Circuit Court Judge","26Th Judicial Circuit","2","","","","","",""
"Parsons, Kenneth","25553","Candidate","Active","Republican","State Board Of Education","District 8","","","","","","",""
"Peters, Meredith","25682","Candidate","Active","Republican","Revenue Commissioner","Covington County","","","","","","",""
"Dees, Mary","25700","Candidate","Active","Democrat","Revenue Commissioner","Washington County","","","","","","",""
"Biggs, Wayne","25654","Candidate","Active","Republican","State Representative","House District 98","","","","","","",""
"Freeman, Joseph","25394","Candidate","Active","Republican","State Representative","House District 44","","","","","","",""
"Williams, Joel","25722","Candidate","Active","Democrat","State Representative","House District 89","","","","","","",""
"Lawrence, Kelvin","25632","Candidate","Active","Democrat","State Representative","House District 69","","","","","","",""
"Zachero, James","25677","Candidate","Active","Democrat","State Representative","House District 33","","","","","","",""
"Mclaughlin, Jeffrey","25668","Candidate","Active","Democrat","State Representative","House District 27","","","","","","",""
"Ritch, Adam","25643","Candidate","Active","Republican","State Senator","Senate District 17","","","","","","",""
"Poynter, Ginger","25736","Candidate","Active","Independent","District Court Judge","Baldwin County","1","","","","","",""
"Barnes, William","25636","Candidate","Active","Democrat","State Representative","House District 59","","","","","","",""
"Small, Steve","25777","Candidate","Active","Democrat","County Commissioner","Jefferson County","2","","","","","",""
"Weinberg, Martin","25644","Candidate","Active","Democrat","Circuit Court Judge","10Th Judicial Circuit","3","","","","","",""
"Hanes, James","25617","Candidate","Active","Republican","State Representative","House District 23","","","","","","",""
"Keith, Lesa","25688","Candidate","Dissolved","Republican","County Board Of Education","Montgomery County","Seat 1    ","","","","","",""
"Marchman, Garry","25601","Candidate","Active","Republican","County Commissioner","Cullman County","","","","","","",""
"Hill, Stanley","25614","Candidate","Active","Republican","County Commissioner","Limestone County","","","","","","",""
"Cheatham, Rex","25637","Candidate","Active","Democrat","State Representative","House District 8","","","","","","",""
"Griggs, Jim","25663","Candidate","Active","Republican","County Commissioner","Henry County","","","","","","",""
"Roper, Timothy","25571","Candidate","Active","Republican","District Court Judge","Shelby County","2","","","","","",""
"Means, Larry","25629","Candidate","Active","Democrat","State Senator","Senate District 10","","","","","","",""
"Williams, John","25618","Candidate","Active","Republican","State Representative","House District 102","","","","","","",""
"Schrubbe, Miranda","25681","Candidate","Dissolved","Republican","County Board Of Education","Baldwin County","","","","","","",""
"Shelnutt, Shay","25714","Candidate","Active","Republican","State Senator","Senate District 17","","","","","","",""
"Scott-Harris, Shirley","25703","Candidate","Active","Democrat","State Representative","House District 79","","","","","","",""
"Gc PAC","25019","PAC","","","","","","","","","","",""
"Wren, Gregory","24921","Candidate","Dissolved","Republican","State Representative","House District 75","","","","","","",""
"Drummond, Barbara","25671","Candidate","Active","Democrat","State Representative","House District 103","","","","","","",""
"Fincher, Chad","25186","Candidate","Active","Republican","State Representative","House District 102","","(334) 242-7576","chad.fincher@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd002.html","","",""
"Whaley, Thomas","25494","Candidate","Active","Republican","State Representative","House District 37","","","","","","",""
"King, Brett","25659","Candidate","Active","Republican","State Senator","Senate District 17","","","","","","",""
"Murphy, Donald","25656","Candidate","Active","Republican","State Representative","House District 43","","","","","","",""
"Curtis, Mike","25646","Candidate","Active","Democrat","State Senator","Senate District 1","","","","","","",""
"Head, Gary","25651","Candidate","Active","Republican","State Representative","House District 83","","","","","","",""
"Bahakel, John","25756","Candidate","Active","Republican","State Representative","House District 43","","","","","","",""
"Boman, Daniel","25143","Candidate","Active","Democrat","State Representative","House District 16","","(334) 242-7494","daniel_boman@thebomanfirm.com","http://www.legislature.state.al.us/house/representatives/housebios/hd016.html","","","RepBoman"
"Mobile Auto-PAC","25241","PAC","","","","","","","","","","",""
"Pettus, Phillip","25687","Candidate","Active","Republican","State Representative","House District 1","","","","","","",""
"Mcdonald, Regina","25685","Candidate","Active","Republican","State Representative","House District 43","","","","","","",""
"Sealy, Hobbie","25610","Candidate","Active","Republican","State Auditor","","","","","","","",""
"Green, Jim","25039","Candidate","Active","Democrat","State Representative","House District 23","","","","","","",""
"Trautwein, Jody","25695","Candidate","Active","Republican","State Representative","House District 73","","","","","","",""
"Jpac","25108","PAC","","","","","","","","","","",""
"Jones, C.","25378","Candidate","Active","Democrat","State Representative","House District 21","","","","","","",""
"Humburg, Denise","25716","Candidate","Dissolved","Republican","Revenue Commissioner","Dale County","","","","","","",""
"Barbee, Jonathan","25319","Candidate","Active","Republican","Public Service Commissioner","Place 2","","","","","","",""
"Bell, Cynthia","25742","Candidate","Active","Democrat","State Senator","Senate District 16","","","","","","",""
"Beddingfield, David","25666","Candidate","Active","Democrat","State Representative","House District 24","","","","","","",""
"Berryhill, Jonathan","25605","Candidate","Dissolved","Republican","State Senator","Senate District 1","","","","","","",""
